"","doi","year","article_name","article_type","corresponding_author","authors","author_affiliations","author","author_affiliation1","author_affiliation2","author_affiliation3","author_affiliation4"
"296","10.1207/s15516709cog1203_6","1988","Arbib, M., Conklin, E., & Hill, J. From Schema Theory to Language.","Book Reviews","Suzanne Mannes","             University of Colorado, Boulder.","Suzanne Mannes","             University of Colorado, Boulder.",NA,NA,NA,NA
"297","10.1207/s15516709cog1204_1","1988","Combining Prototypes: A Selective Modification Model","Original Article","TRUE","Edward E. Smith1,*, 
Daniel N. Osherson2, 
Lance J. Rips3 and
Margaret Keane2","             University of Michigan
             Massachusetts Institute of Technology
             University of Chicago","Edward E. Smith","             University of Michigan",NA,NA,NA
"298","10.1207/s15516709cog1204_1","1988","Combining Prototypes: A Selective Modification Model","Original Article","FALSE","Edward E. Smith1,*, 
Daniel N. Osherson2, 
Lance J. Rips3 and
Margaret Keane2","             University of Michigan
             Massachusetts Institute of Technology
             University of Chicago","Daniel N. Osherson","             Massachusetts Institute of Technology",NA,NA,NA
"299","10.1207/s15516709cog1204_1","1988","Combining Prototypes: A Selective Modification Model","Original Article","FALSE","Edward E. Smith1,*, 
Daniel N. Osherson2, 
Lance J. Rips3 and
Margaret Keane2","             University of Michigan
             Massachusetts Institute of Technology
             University of Chicago","Lance J. Rips","             University of Chicago",NA,NA,NA
"300","10.1207/s15516709cog1204_1","1988","Combining Prototypes: A Selective Modification Model","Original Article","FALSE","Edward E. Smith1,*, 
Daniel N. Osherson2, 
Lance J. Rips3 and
Margaret Keane2","             University of Michigan
             Massachusetts Institute of Technology
             University of Chicago","Margaret Keane","             Massachusetts Institute of Technology",NA,NA,NA
"301","10.1207/s15516709cog1204_2","1988","Comprehending Complex Concepts","Original Article","TRUE","Gregory L. Murphy*","             Brown University","Gregory L. Murphy","             Brown University",NA,NA,NA
"302","10.1207/s15516709cog1204_3","1988","Observed Methods for Generating Analogies in Scientific Problem Solving","Original Article","TRUE","John Clement*","             University of Massachusetts","John Clement","             University of Massachusetts",NA,NA,NA
"303","10.1207/s15516709cog1204_4","1988","Observational Learning From Internal Feedback: A Simulation of an Adaptive Learning Method","Original Article","TRUE","Dorrit Billman1,* and
Evan Heit2","             University of Pennsylvania
             Stanford University","Dorrit Billman","             University of Pennsylvania",NA,NA,NA
"304","10.1207/s15516709cog1204_4","1988","Observational Learning From Internal Feedback: A Simulation of an Adaptive Learning Method","Original Article","FALSE","Dorrit Billman1,* and
Evan Heit2","             University of Pennsylvania
             Stanford University","Evan Heit","             Stanford University",NA,NA,NA
"305","10.1207/s15516709cog1204_5","1988","Rubin, David C. (Ed.) Autobiographical Memory.","Book Review","Stephanie Thornton","             University of Sussex, Falmer BN1 9QN, England","Stephanie Thornton","             University of Sussex, Falmer BN1 9QN, England",NA,NA,NA,NA
"306","10.1207/s15516709cog1301_1","1989","The Logic of Plausible Reasoning: A Core Theory","Original Article","TRUE","Allan Collins1,* and
Ryszard Michalski2","             Bolt Beranek and Newman Inc.
             George Mason University","Allan Collins","             Bolt Beranek and Newman Inc.",NA,NA,NA
"307","10.1207/s15516709cog1301_1","1989","The Logic of Plausible Reasoning: A Core Theory","Original Article","FALSE","Allan Collins1,* and
Ryszard Michalski2","             Bolt Beranek and Newman Inc.
             George Mason University","Ryszard Michalski","             George Mason University",NA,NA,NA
"308","10.1207/s15516709cog1301_2","1989","Reinterpreting Visual Patterns in Mental Imagery","Original Article","FALSE","Ronald A. Finks1, 
Steven Pinker2,* and
Martha J. Farah3","             Texas A&M University
             Massachusetts Institute of Technology
             Carnegie-Mellon University","Ronald A. Finks","             Texas A&M University",NA,NA,NA
"309","10.1207/s15516709cog1301_2","1989","Reinterpreting Visual Patterns in Mental Imagery","Original Article","TRUE","Ronald A. Finks1, 
Steven Pinker2,* and
Martha J. Farah3","             Texas A&M University
             Massachusetts Institute of Technology
             Carnegie-Mellon University","Steven Pinker","             Massachusetts Institute of Technology",NA,NA,NA
"310","10.1207/s15516709cog1301_2","1989","Reinterpreting Visual Patterns in Mental Imagery","Original Article","FALSE","Ronald A. Finks1, 
Steven Pinker2,* and
Martha J. Farah3","             Texas A&M University
             Massachusetts Institute of Technology
             Carnegie-Mellon University","Martha J. Farah","             Carnegie-Mellon University",NA,NA,NA
"311","10.1207/s15516709cog1301_3","1989","Marker-passing over Microfeatures: Towards a Hybrid Symbolic/Connectionist Model","Original Article","TRUE","James A. Hendler*","             University of Maryland","James A. Hendler","             University of Maryland",NA,NA,NA
"312","10.1207/s15516709cog1301_4","1989","A Default-Oriented Theory of Procedural Semantics","Original Article","TRUE","Robert F. Hadley*","             Simon Fraser University","Robert F. Hadley","             Simon Fraser University",NA,NA,NA
"313","10.1207/s15516709cog1301_5","1989","Parallelism and Functionalism","Original Article","TRUE","William M. Ramsey*","             University of California, San Diego","William M. Ramsey","             University of California, San Diego",NA,NA,NA
"314","10.1207/s15516709cog1302_1","1989","Self-Explanations: How Students Study and Use Examples in Learning to Solve Problems","Original Article","TRUE","Michelene T.H. Chi1,*, 
Miriam Bassok1, 
Matthew W. Lewis2, 
Peter Reimann3 and
Robert Glaser4","             Learning Research and Development Center Pittsburgh, PA
             The Rand Corporation
             University of Freiberg
             Learning Research and Development Center Pittsburgh, PA","Michelene T.H. Chi","             Learning Research and Development Center Pittsburgh, PA",NA,NA,NA
"315","10.1207/s15516709cog1302_1","1989","Self-Explanations: How Students Study and Use Examples in Learning to Solve Problems","Original Article","FALSE","Michelene T.H. Chi1,*, 
Miriam Bassok1, 
Matthew W. Lewis2, 
Peter Reimann3 and
Robert Glaser4","             Learning Research and Development Center Pittsburgh, PA
             The Rand Corporation
             University of Freiberg
             Learning Research and Development Center Pittsburgh, PA","Miriam Bassok","             Learning Research and Development Center Pittsburgh, PA",NA,NA,NA
"316","10.1207/s15516709cog1302_1","1989","Self-Explanations: How Students Study and Use Examples in Learning to Solve Problems","Original Article","FALSE","Michelene T.H. Chi1,*, 
Miriam Bassok1, 
Matthew W. Lewis2, 
Peter Reimann3 and
Robert Glaser4","             Learning Research and Development Center Pittsburgh, PA
             The Rand Corporation
             University of Freiberg
             Learning Research and Development Center Pittsburgh, PA","Matthew W. Lewis","             The Rand Corporation",NA,NA,NA
"317","10.1207/s15516709cog1302_1","1989","Self-Explanations: How Students Study and Use Examples in Learning to Solve Problems","Original Article","FALSE","Michelene T.H. Chi1,*, 
Miriam Bassok1, 
Matthew W. Lewis2, 
Peter Reimann3 and
Robert Glaser4","             Learning Research and Development Center Pittsburgh, PA
             The Rand Corporation
             University of Freiberg
             Learning Research and Development Center Pittsburgh, PA","Peter Reimann","             University of Freiberg",NA,NA,NA
"318","10.1207/s15516709cog1302_1","1989","Self-Explanations: How Students Study and Use Examples in Learning to Solve Problems","Original Article","FALSE","Michelene T.H. Chi1,*, 
Miriam Bassok1, 
Matthew W. Lewis2, 
Peter Reimann3 and
Robert Glaser4","             Learning Research and Development Center Pittsburgh, PA
             The Rand Corporation
             University of Freiberg
             Learning Research and Development Center Pittsburgh, PA","Robert Glaser","             Learning Research and Development Center Pittsburgh, PA",NA,NA,NA
"319","10.1207/s15516709cog1302_2","1989","A Model of Competence for Counting","Original Article","TRUE","Donald A. Smith1,*, 
James G. Greeno2 and
Theresa M. Vitolo3","             Northern Illinois University
             Stanford University
             Slippery Rock University","Donald A. Smith","             Northern Illinois University",NA,NA,NA
"320","10.1207/s15516709cog1302_2","1989","A Model of Competence for Counting","Original Article","FALSE","Donald A. Smith1,*, 
James G. Greeno2 and
Theresa M. Vitolo3","             Northern Illinois University
             Stanford University
             Slippery Rock University","James G. Greeno","             Stanford University",NA,NA,NA
"321","10.1207/s15516709cog1302_2","1989","A Model of Competence for Counting","Original Article","FALSE","Donald A. Smith1,*, 
James G. Greeno2 and
Theresa M. Vitolo3","             Northern Illinois University
             Stanford University
             Slippery Rock University","Theresa M. Vitolo","             Slippery Rock University",NA,NA,NA
"322","10.1207/s15516709cog1302_3","1989","Predicting Conversational Reports of a Personal Event","Original Article","TRUE","Yvette J. Tenney*","             Bolt Beranek and Newman Labs Cambridge, MA","Yvette J. Tenney","             Bolt Beranek and Newman Labs Cambridge, MA",NA,NA,NA
"323","10.1207/s15516709cog1302_4","1989","Empirical Constraints on Computational Theories of Metaphor: Comments on Indurkhya","Original Article","TRUE","Richard J. Gerrig*","             Yale University","Richard J. Gerrig","             Yale University",NA,NA,NA
"324","10.1207/s15516709cog1302_5","1989","Understanding and Literal Meaning","Original Article","TRUE","Raymond W. Gibbs Jr.*","             University of California, Santa Cruz","Raymond W. Gibbs Jr.","             University of California, Santa Cruz",NA,NA,NA
"325","10.1207/s15516709cog1302_6","1989","On the Roles of Context and Literal Meaning in Understanding","Original Article","TRUE","Marcelo Dascal*","             Tel Aviv University","Marcelo Dascal","             Tel Aviv University",NA,NA,NA
"326","10.1207/s15516709cog1302_7","1989","Contributing to Discourse","Original Article","TRUE","Herbert H. Clark* and
Edward F. Schaefer","             Stanford University","Herbert H. Clark","             Stanford University",NA,NA,NA
"327","10.1207/s15516709cog1302_7","1989","Contributing to Discourse","Original Article","FALSE","Herbert H. Clark* and
Edward F. Schaefer","             Stanford University","Edward F. Schaefer","             Stanford University",NA,NA,NA
"328","10.1207/s15516709cog1303_1","1989","Analogical Mapping by Constraint Satisfaction","Original Article","TRUE","Keith J. Holyoak1,* and
Paul Thagard2","             University of California, Los Angeles
             Princeton University","Keith J. Holyoak","             University of California, Los Angeles",NA,NA,NA
"329","10.1207/s15516709cog1303_1","1989","Analogical Mapping by Constraint Satisfaction","Original Article","FALSE","Keith J. Holyoak1,* and
Paul Thagard2","             University of California, Los Angeles
             Princeton University","Paul Thagard","             Princeton University",NA,NA,NA
"330","10.1207/s15516709cog1303_2","1989","Inferring Causal History froms Shape","Original Article","TRUE","Michael Leyton*","             Rutgers University","Michael Leyton","             Rutgers University",NA,NA,NA
"331","10.1207/s15516709cog1303_3","1989","Schema Creation in Programming","Original Article","TRUE","Robert S. Rist*","             University of Technology, Sydney, Australia","Robert S. Rist","             University of Technology, Sydney, Australia",NA,NA,NA
"332","10.1207/s15516709cog1303_4","1989","Non-LIFO Execution of Cognitive Procedures","Original Article","TRUE","Kurt VanLehn*, 
William Ball and
Bernadette Kowalski","             Carnegie-Mellon University","Kurt VanLehn","             Carnegie-Mellon University",NA,NA,NA
"333","10.1207/s15516709cog1303_4","1989","Non-LIFO Execution of Cognitive Procedures","Original Article","FALSE","Kurt VanLehn*, 
William Ball and
Bernadette Kowalski","             Carnegie-Mellon University","William Ball","             Carnegie-Mellon University",NA,NA,NA
"334","10.1207/s15516709cog1303_4","1989","Non-LIFO Execution of Cognitive Procedures","Original Article","FALSE","Kurt VanLehn*, 
William Ball and
Bernadette Kowalski","             Carnegie-Mellon University","Bernadette Kowalski","             Carnegie-Mellon University",NA,NA,NA
"335","10.1207/s15516709cog1304_1","1989","Skill Acquisition and the LISP Tutor","Original Article","TRUE","John R. Anderson*, 
Frederick G. Conrad and
Albert T. Corbett","             Carnegie-Mellon University","John R. Anderson","             Carnegie-Mellon University",NA,NA,NA
"336","10.1207/s15516709cog1304_1","1989","Skill Acquisition and the LISP Tutor","Original Article","FALSE","John R. Anderson*, 
Frederick G. Conrad and
Albert T. Corbett","             Carnegie-Mellon University","Frederick G. Conrad","             Carnegie-Mellon University",NA,NA,NA
"337","10.1207/s15516709cog1304_1","1989","Skill Acquisition and the LISP Tutor","Original Article","FALSE","John R. Anderson*, 
Frederick G. Conrad and
Albert T. Corbett","             Carnegie-Mellon University","Albert T. Corbett","             Carnegie-Mellon University",NA,NA,NA
"338","10.1207/s15516709cog1304_2","1989","The MEDIATOR: Analysis of an Early Case-Based Problem Solver†","Original Article","TRUE","Janet L. Kolodner1,* and
Robert L. Simpson2","             Georgia Institute of Technology
             DARPA/ISTO","Janet L. Kolodner","             Georgia Institute of Technology",NA,NA,NA
"339","10.1207/s15516709cog1304_2","1989","The MEDIATOR: Analysis of an Early Case-Based Problem Solver†","Original Article","FALSE","Janet L. Kolodner1,* and
Robert L. Simpson2","             Georgia Institute of Technology
             DARPA/ISTO","Robert L. Simpson","             DARPA/ISTO",NA,NA,NA
"340","10.1207/s15516709cog1304_3","1989","Studies of Diagnosis and Remediation with High School Algebra Students","Original Article","TRUE","D. Sleeman*, 
A.E. Kelly, 
R. Martinak, 
R.D. Ward and
J.L. Moore","             University of Aberdeen Aberdeen, Scotland","D. Sleeman","             University of Aberdeen Aberdeen, Scotland",NA,NA,NA
"341","10.1207/s15516709cog1304_3","1989","Studies of Diagnosis and Remediation with High School Algebra Students","Original Article","FALSE","D. Sleeman*, 
A.E. Kelly, 
R. Martinak, 
R.D. Ward and
J.L. Moore","             University of Aberdeen Aberdeen, Scotland","A.E. Kelly","             University of Aberdeen Aberdeen, Scotland",NA,NA,NA
"342","10.1207/s15516709cog1304_3","1989","Studies of Diagnosis and Remediation with High School Algebra Students","Original Article","FALSE","D. Sleeman*, 
A.E. Kelly, 
R. Martinak, 
R.D. Ward and
J.L. Moore","             University of Aberdeen Aberdeen, Scotland","R. Martinak","             University of Aberdeen Aberdeen, Scotland",NA,NA,NA
"343","10.1207/s15516709cog1304_3","1989","Studies of Diagnosis and Remediation with High School Algebra Students","Original Article","FALSE","D. Sleeman*, 
A.E. Kelly, 
R. Martinak, 
R.D. Ward and
J.L. Moore","             University of Aberdeen Aberdeen, Scotland","R.D. Ward","             University of Aberdeen Aberdeen, Scotland",NA,NA,NA
"344","10.1207/s15516709cog1304_3","1989","Studies of Diagnosis and Remediation with High School Algebra Students","Original Article","FALSE","D. Sleeman*, 
A.E. Kelly, 
R. Martinak, 
R.D. Ward and
J.L. Moore","             University of Aberdeen Aberdeen, Scotland","J.L. Moore","             University of Aberdeen Aberdeen, Scotland",NA,NA,NA
"345","10.1207/s15516709cog1304_4","1989","Marker Passing as a Weak Method for Text Inferencing","Original Article","TRUE","Peter Norvig*","             University of California, Berkeley","Peter Norvig","             University of California, Berkeley",NA,NA,NA
"346","10.1207/s15516709cog1401_1","1990","Structural Constraints on Cognitive Development: Introduction to a Special Issue of Cognitive Science","Original Article","TRUE","Rochel Gelman*","             University of Pennsylvania","Rochel Gelman","             University of Pennsylvania",NA,NA,NA
"347","10.1207/s15516709cog1401_2","1990","Maturational Constraints on Language Learning","Original Article","TRUE","Elissa L. Newport*","             University of Rochester","Elissa L. Newport","             University of Rochester",NA,NA,NA
"348","10.1207/s15516709cog1401_3","1990","Principles of Object Perception","Original Article","TRUE","Elizabeth S. Spelke*","             Cornell University","Elizabeth S. Spelke","             Cornell University",NA,NA,NA
"349","10.1207/s15516709cog1401_4","1990","Constraints Children Place on Word Meanings","Original Article","TRUE","Ellen M. Markman*","             Stanford University","Ellen M. Markman","             Stanford University",NA,NA,NA
"350","10.1207/s15516709cog1401_5","1990","First Principles Organize Attention to and Learning About Relevant Data: Number and the Animate-Inanimate Distinction as Examples","Original Article","TRUE","Rochel Gelman*","             University of Pennsylvania","Rochel Gelman","             University of Pennsylvania",NA,NA,NA
"351","10.1207/s15516709cog1401_6","1990","Domain-Specific Principles Affect Learning and Transfer in Children","Original Article","TRUE","Ann L. Brown*","             University of California at Berkeley","Ann L. Brown","             University of California at Berkeley",NA,NA,NA
"352","10.1207/s15516709cog1401_7","1990","Constraints on Constraints: Surveying the Epigenetic Landscape","Original Article","TRUE","Frank C. Keil*","             Cornell University","Frank C. Keil","             Cornell University",NA,NA,NA
"353","10.1207/s15516709cog1401_8","1990","Safe Takeoffs—Soft Landings","Original Article","TRUE","Douglas L. Medin*, 
Woo-Kyoung Ahn, 
Jeffrey Bettger, 
Judy Florian, 
Robert Goldstone, 
Mary Lassaline, 
Arthur Markman, 
Joshua Rubinstein and
Edward Wisniewski","             University of Illinois at Champaign-Urbana","Douglas L. Medin","             University of Illinois at Champaign-Urbana",NA,NA,NA
"354","10.1207/s15516709cog1401_8","1990","Safe Takeoffs—Soft Landings","Original Article","FALSE","Douglas L. Medin*, 
Woo-Kyoung Ahn, 
Jeffrey Bettger, 
Judy Florian, 
Robert Goldstone, 
Mary Lassaline, 
Arthur Markman, 
Joshua Rubinstein and
Edward Wisniewski","             University of Illinois at Champaign-Urbana","Woo-Kyoung Ahn","             University of Illinois at Champaign-Urbana",NA,NA,NA
"355","10.1207/s15516709cog1401_8","1990","Safe Takeoffs—Soft Landings","Original Article","FALSE","Douglas L. Medin*, 
Woo-Kyoung Ahn, 
Jeffrey Bettger, 
Judy Florian, 
Robert Goldstone, 
Mary Lassaline, 
Arthur Markman, 
Joshua Rubinstein and
Edward Wisniewski","             University of Illinois at Champaign-Urbana","Jeffrey Bettger","             University of Illinois at Champaign-Urbana",NA,NA,NA
"356","10.1207/s15516709cog1401_8","1990","Safe Takeoffs—Soft Landings","Original Article","FALSE","Douglas L. Medin*, 
Woo-Kyoung Ahn, 
Jeffrey Bettger, 
Judy Florian, 
Robert Goldstone, 
Mary Lassaline, 
Arthur Markman, 
Joshua Rubinstein and
Edward Wisniewski","             University of Illinois at Champaign-Urbana","Judy Florian","             University of Illinois at Champaign-Urbana",NA,NA,NA
"357","10.1207/s15516709cog1401_8","1990","Safe Takeoffs—Soft Landings","Original Article","FALSE","Douglas L. Medin*, 
Woo-Kyoung Ahn, 
Jeffrey Bettger, 
Judy Florian, 
Robert Goldstone, 
Mary Lassaline, 
Arthur Markman, 
Joshua Rubinstein and
Edward Wisniewski","             University of Illinois at Champaign-Urbana","Robert Goldstone","             University of Illinois at Champaign-Urbana",NA,NA,NA
"358","10.1207/s15516709cog1401_8","1990","Safe Takeoffs—Soft Landings","Original Article","FALSE","Douglas L. Medin*, 
Woo-Kyoung Ahn, 
Jeffrey Bettger, 
Judy Florian, 
Robert Goldstone, 
Mary Lassaline, 
Arthur Markman, 
Joshua Rubinstein and
Edward Wisniewski","             University of Illinois at Champaign-Urbana","Mary Lassaline","             University of Illinois at Champaign-Urbana",NA,NA,NA
"359","10.1207/s15516709cog1401_8","1990","Safe Takeoffs—Soft Landings","Original Article","FALSE","Douglas L. Medin*, 
Woo-Kyoung Ahn, 
Jeffrey Bettger, 
Judy Florian, 
Robert Goldstone, 
Mary Lassaline, 
Arthur Markman, 
Joshua Rubinstein and
Edward Wisniewski","             University of Illinois at Champaign-Urbana","Arthur Markman","             University of Illinois at Champaign-Urbana",NA,NA,NA
"360","10.1207/s15516709cog1401_8","1990","Safe Takeoffs—Soft Landings","Original Article","FALSE","Douglas L. Medin*, 
Woo-Kyoung Ahn, 
Jeffrey Bettger, 
Judy Florian, 
Robert Goldstone, 
Mary Lassaline, 
Arthur Markman, 
Joshua Rubinstein and
Edward Wisniewski","             University of Illinois at Champaign-Urbana","Joshua Rubinstein","             University of Illinois at Champaign-Urbana",NA,NA,NA
"361","10.1207/s15516709cog1401_8","1990","Safe Takeoffs—Soft Landings","Original Article","FALSE","Douglas L. Medin*, 
Woo-Kyoung Ahn, 
Jeffrey Bettger, 
Judy Florian, 
Robert Goldstone, 
Mary Lassaline, 
Arthur Markman, 
Joshua Rubinstein and
Edward Wisniewski","             University of Illinois at Champaign-Urbana","Edward Wisniewski","             University of Illinois at Champaign-Urbana",NA,NA,NA
"362","10.1207/s15516709cog1402_1","1990","Finding Structure in Time","Original Article","TRUE","Jeffrey L. Elman*","             University of California, San Diego","Jeffrey L. Elman","             University of California, San Diego",NA,NA,NA
"363","10.1207/s15516709cog1402_2","1990","Nonmonotonic Reasoning and Causation","Original Article","TRUE","Yoav Shoham*","             Stanford University","Yoav Shoham","             Stanford University",NA,NA,NA
"364","10.1207/s15516709cog1402_3","1990","Detection of Cognitive Structure with Protocol Data: Predicting Performance on Physics Transfer Problems","Original Article","TRUE","William C. Robertson*","             The Biological Sciences Curriculum Study","William C. Robertson","             The Biological Sciences Curriculum Study",NA,NA,NA
"365","10.1207/s15516709cog1402_4","1990","Laboratory Replication of Scientific Discovery Processes","Original Article","FALSE","Yulin Qin and
Herbert A. Simon*","             Carnegie-Mellon University","Yulin Qin","             Carnegie-Mellon University",NA,NA,NA
"366","10.1207/s15516709cog1402_4","1990","Laboratory Replication of Scientific Discovery Processes","Original Article","TRUE","Yulin Qin and
Herbert A. Simon*","             Carnegie-Mellon University","Herbert A. Simon","             Carnegie-Mellon University",NA,NA,NA
"367","10.1207/s15516709cog1403_1","1990","Race-Based Parsing and Syntactic Disambiguation","Original Article","TRUE","Susan Weber McRoy* and
Graeme Hirst","             University of Toronto","Susan Weber McRoy","             University of Toronto",NA,NA,NA
"368","10.1207/s15516709cog1403_1","1990","Race-Based Parsing and Syntactic Disambiguation","Original Article","FALSE","Susan Weber McRoy* and
Graeme Hirst","             University of Toronto","Graeme Hirst","             University of Toronto",NA,NA,NA
"369","10.1207/s15516709cog1403_2","1990","Compositionality: A Connectionist Variation on a Classical Theme","Original Article","TRUE","Tim              van            Gelder*","             Indiana University","Tim              van            Gelder","             Indiana University",NA,NA,NA
"370","10.1207/s15516709cog1403_3","1990","Case-Based Planning: A Framework for Planning from Experience","Original Article","TRUE","Kristian J. Hammond*","             The University of Chicago","Kristian J. Hammond","             The University of Chicago",NA,NA,NA
"371","10.1207/s15516709cog1403_4","1990","Algebra Mal-Rules and Cognitive Accounts of Error","Original Article","TRUE","Stephen J. Payne* and
Helen R. Squibb","             University of Lancaster","Stephen J. Payne","             University of Lancaster",NA,NA,NA
"372","10.1207/s15516709cog1403_4","1990","Algebra Mal-Rules and Cognitive Accounts of Error","Original Article","FALSE","Stephen J. Payne* and
Helen R. Squibb","             University of Lancaster","Helen R. Squibb","             University of Lancaster",NA,NA,NA
"373","10.1207/s15516709cog1404_1","1990","Learning Plan Schemata from Observation: Explanation-Based Learning for Plan Recognition","Original Article","TRUE","Raymond J. Mooney*","             University of Texas","Raymond J. Mooney","             University of Texas",NA,NA,NA
"374","10.1207/s15516709cog1404_2","1990","Abstract Planning and Perceptual Chunks: Elements of Expertise in Geometry","Original Article","TRUE","Kenneth R. Koedinger* and
John R. Anderson","             Carnegie-Mellon University","Kenneth R. Koedinger","             Carnegie-Mellon University",NA,NA,NA
"375","10.1207/s15516709cog1404_2","1990","Abstract Planning and Perceptual Chunks: Elements of Expertise in Geometry","Original Article","FALSE","Kenneth R. Koedinger* and
John R. Anderson","             Carnegie-Mellon University","John R. Anderson","             Carnegie-Mellon University",NA,NA,NA
"376","10.1207/s15516709cog1404_3","1990","Combining Social Concepts: The Role of Causal Reasoning","Original Article","TRUE","Ziva Kunda*, 
Dale T. Miller and
Theresa Claire","             Princeton University","Ziva Kunda","             Princeton University",NA,NA,NA
"377","10.1207/s15516709cog1404_3","1990","Combining Social Concepts: The Role of Causal Reasoning","Original Article","FALSE","Ziva Kunda*, 
Dale T. Miller and
Theresa Claire","             Princeton University","Dale T. Miller","             Princeton University",NA,NA,NA
"378","10.1207/s15516709cog1404_3","1990","Combining Social Concepts: The Role of Causal Reasoning","Original Article","FALSE","Ziva Kunda*, 
Dale T. Miller and
Theresa Claire","             Princeton University","Theresa Claire","             Princeton University",NA,NA,NA
"379","10.1207/s15516709cog1404_4","1990","Modeling Novice-to-Expert Shifts in Problem-Solving Strategy and Knowledge Organization","Original Article","TRUE","Renée Elio* and
Peternela B. Scharf","             The University of Alberta, Canada","Renée Elio","             The University of Alberta, Canada",NA,NA,NA
"380","10.1207/s15516709cog1404_4","1990","Modeling Novice-to-Expert Shifts in Problem-Solving Strategy and Knowledge Organization","Original Article","FALSE","Renée Elio* and
Peternela B. Scharf","             The University of Alberta, Canada","Peternela B. Scharf","             The University of Alberta, Canada",NA,NA,NA
"381","10.1207/s15516709cog1404_5","1990","Errata: Algebra Mal-Rules and Cognitive Accounts of Error","Errata","TRUE","Stephen J. Payne* and
Helen R. Squibb","             University of Lancaster","Stephen J. Payne","             University of Lancaster",NA,NA,NA
"382","10.1207/s15516709cog1404_5","1990","Errata: Algebra Mal-Rules and Cognitive Accounts of Error","Errata","FALSE","Stephen J. Payne* and
Helen R. Squibb","             University of Lancaster","Helen R. Squibb","             University of Lancaster",NA,NA,NA
"383","10.1207/s15516709cog1501_1","1991","Rule acquisition events in the discovery of problem-solving strategies","Original Article","TRUE","Kurt VanLehn*","             University of Pittsburgh USA","Kurt VanLehn","             University of Pittsburgh USA",NA,NA,NA
"384","10.1207/s15516709cog1501_2","1991","A computer model of the temporal course of agrammatic sentence understanding: The effects of variation in severity and sentence complexity","Original Article","TRUE","Henk J. Haarmann1,* and
Herman H.J. Kolk2","             Max Planck Institute for Psycholinguistics and Nijmegen Institute for Cognition Research and Information Technology, University of Nijmegen, The Netherlands
             Nijmegen Institute for Cognition Research and Information Technology, University of Nijmegen, The Netherlands","Henk J. Haarmann","             Max Planck Institute for Psycholinguistics and Nijmegen Institute for Cognition Research and Information Technology, University of Nijmegen, The Netherlands",NA,NA,NA
"385","10.1207/s15516709cog1501_2","1991","A computer model of the temporal course of agrammatic sentence understanding: The effects of variation in severity and sentence complexity","Original Article","FALSE","Henk J. Haarmann1,* and
Herman H.J. Kolk2","             Max Planck Institute for Psycholinguistics and Nijmegen Institute for Cognition Research and Information Technology, University of Nijmegen, The Netherlands
             Nijmegen Institute for Cognition Research and Information Technology, University of Nijmegen, The Netherlands","Herman H.J. Kolk","             Nijmegen Institute for Cognition Research and Information Technology, University of Nijmegen, The Netherlands",NA,NA,NA
"386","10.1207/s15516709cog1501_3","1991","Systematicity as a selection constraint in analogical mapping","Original Article","Catherine A. Clement and
Dedre Gentner","             University of Illinois, Champaign, IL USA","Catherine A. Clement","             University of Illinois, Champaign, IL USA",NA,NA,NA,NA
"387","10.1207/s15516709cog1501_3","1991","Systematicity as a selection constraint in analogical mapping","Original Article","Catherine A. Clement and
Dedre Gentner","             University of Illinois, Champaign, IL USA","Dedre Gentner","             University of Illinois, Champaign, IL USA",NA,NA,NA,NA
"388","10.1207/s15516709cog1501_4","1991","Belief ascription, metaphor, and intensional identification","Original Article","FALSE","Afzal Ballim1, 
Yorick Wilks2,* and
John Barnden2","             University of Geneva, Switzerland
             New Mexico State University USA","Afzal Ballim","             University of Geneva, Switzerland",NA,NA,NA
"389","10.1207/s15516709cog1501_4","1991","Belief ascription, metaphor, and intensional identification","Original Article","TRUE","Afzal Ballim1, 
Yorick Wilks2,* and
John Barnden2","             University of Geneva, Switzerland
             New Mexico State University USA","Yorick Wilks","             New Mexico State University USA",NA,NA,NA
"390","10.1207/s15516709cog1501_4","1991","Belief ascription, metaphor, and intensional identification","Original Article","FALSE","Afzal Ballim1, 
Yorick Wilks2,* and
John Barnden2","             University of Geneva, Switzerland
             New Mexico State University USA","John Barnden","             New Mexico State University USA",NA,NA,NA
"391","10.1207/s15516709cog1502_1","1991","Why No Mere Mortal Has Ever Flown Out to Center Field","Original Article","TRUE","John J. Kim1,*, 
Steven Pinker1, 
Alan Prince2 and
Sandeep Prasada3","Massachusetts Institute of Technology
Brandeis University
Massachusetts Institute of Technology","John J. Kim","Massachusetts Institute of Technology",NA,NA,NA
"392","10.1207/s15516709cog1502_1","1991","Why No Mere Mortal Has Ever Flown Out to Center Field","Original Article","FALSE","John J. Kim1,*, 
Steven Pinker1, 
Alan Prince2 and
Sandeep Prasada3","Massachusetts Institute of Technology
Brandeis University
Massachusetts Institute of Technology","Steven Pinker","Massachusetts Institute of Technology",NA,NA,NA
"393","10.1207/s15516709cog1502_1","1991","Why No Mere Mortal Has Ever Flown Out to Center Field","Original Article","FALSE","John J. Kim1,*, 
Steven Pinker1, 
Alan Prince2 and
Sandeep Prasada3","Massachusetts Institute of Technology
Brandeis University
Massachusetts Institute of Technology","Alan Prince","Brandeis University",NA,NA,NA
